Unnamed: 0,Technique,Status in Original AGCC Paper,Explanation
0,Adaptive Gamma Correction,Used,Main enhancement technique in the proposed AGC...
1,Color Correction,Used,Second step of the AGCC model to balance RGB c...
2,Contrast Stretching,Used,Third step of the AGCC model to normalize inte...
3,Histogram Analysis,Used,Used for visual analysis of intensity distribu...
4,RGB Channel Statistics,Used,Used for gamma and color correction calculations.
5,Atmospheric Scattering Model,Discussed as theory,"Used as conceptual background, not directly im..."
6,Gaussian Filtering,Not used in proposed AGCC,Mentioned in related work as a limitation beca...
7,Median Filtering,Not used,No median filtering step exists in the AGCC al...
8,Bilateral Filtering,Not used,Not part of the original paper methodology.
9,Sobel Edge Detection,Not used,No explicit edge detector is used.
10,Canny Edge Detection,Not used,No explicit edge detector is used.
11,Image Segmentation,Not used,"The original paper applies global enhancement,..."
12,Morphological Operations,Not used,"No erosion, dilation, opening, or closing is u..."
13,Fourier Transform,Not used,"The method works in spatial domain, not freque..."
14,Wavelet Transform,Not used,No wavelet decomposition is used.
15,Deep Learning,Not used,The proposed AGCC method is not training-based.
